Date	Latitude	Longitude	City	Country	Lineage	Color	Airport
111	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
71	41.1338198	16.7632158		Italy	Omicron	CB5C19	DOH
5	53.2716381	7.4587572		Germany	Other	E06666	DOH
60	22.3160874	113.93647839996052		China	XBB.1.9.2*	76750F	DOH
78	35.7626211	10.7545542		Tunisia	BA.2.86*	5344AA	DOH
56	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
46	42.3743325	-71.0302794		United States	XBB*	04329B	DOH
113	11.55351865	104.8444244551626		Cambodia	BA.2.86*	5344AA	DOH
122	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
15	33.9920437	-96.9158396		Lebanon	Other	E06666	DOH
56	47.3285764	-106.95163804366535		Jordan	XBB.2.3*	035F66	DOH
107	4.3130528	-52.1335736070748		France	Other	E06666	DOH
120	-20.0254002	-63.0890999		Canada	KP.3*	6E6190	DOH
50	28.2127094	83.6658884		Nepal	XBB.1.9.1*	84034F	DOH
19	46.7985624	8.2319736		Switzerland	XBB*	04329B	DOH
115	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
69	11.55351865	104.8444244551626		Cambodia	BA.2.86*	5344AA	DOH
41	55.0356373	-1.7110967		United Kingdom	XBB.1.16*	9B0E0E	DOH
129	47.3285764	-106.95163804366535		Jordan	Omicron	CB5C19	DOH
122	28.2127094	83.6658884		Nepal	BA.2.86*	5344AA	DOH
71	5.6164609	-0.1770993		Egypt	Other	E06666	DOH
63	37.23512285	127.00921616567815		South Korea (Republic of Korea)	Other	E06666	DOH
129	24.9415476	46.7119808		Saudi Arabia	Omicron	CB5C19	DOH
50	-27.7853361	30.7897384		South Africa	XBB*	04329B	DOH
90	36.5920226	-93.6640013		Turkey	BA.2.86*	5344AA	DOH
51	21.0862162	79.0637884		India	EG.5*	76227F	DOH
26	22.3160874	113.93647839996052		China	XBB.1.16*	9B0E0E	DOH
83	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
127	-27.7853361	30.7897384		South Africa	Omicron	CB5C19	DOH
33	43.3568493	-1.7930754		Spain	XBB*	04329B	DOH
116	5.9572597	116.0657877		Malaysia	JN.1.18*	B8AF37	DOH
16	24.0002488	53.9994829		United Arab Emirates	Omicron	CB5C19	DOH
66	13.2099268	120.6038962		Philippines	EG.5*	76227F	DOH
120	-8.7441455	115.1663723		Indonesia	JN.1.18*	B8AF37	DOH
68	12.6270148	99.95103		Thailand	BA.2.86*	5344AA	DOH
76	13.2099268	120.6038962		Philippines	BA.2.86*	5344AA	DOH
116	-6.5247123	35.7878438		Tanzania, United Republic of	KP.2*	674EA7	DOH
134	24.9415476	46.7119808		Saudi Arabia	KP.2*	674EA7	DOH
66	15.9266657	107.9650855		Viet Nam	Other	E06666	DOH
59	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
67	13.2099268	120.6038962		Philippines	Omicron	CB5C19	DOH
121	24.8865027	67.1440768		Pakistan	BA.2.86*	5344AA	DOH
67	53.2716381	7.4587572		Germany	Other	E06666	DOH
107	-27.3856545	153.1184918		Australia	Other	E06666	DOH
126	43.3568493	-1.7930754		Spain	Other	E06666	DOH
65	43.3467411	77.0115631		Kazakhstan	XBB.1.9.1*	84034F	DOH
133	9.0067224	7.2723697		Nigeria	Other	E06666	DOH
54	47.3285764	-106.95163804366535		Jordan	XBB*	04329B	DOH
92	24.9415476	46.7119808		Saudi Arabia	Other	E06666	DOH
128	53.2716381	7.4587572		Germany	Omicron	CB5C19	DOH
17	28.2127094	83.6658884		Nepal	XBB.1.16*	9B0E0E	DOH
79	12.1336618	-68.2761892		Netherlands	BA.2.86*	5344AA	DOH
88	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
56	15.9266657	107.9650855		Viet Nam	EG.5*	76227F	DOH
18	22.3160874	113.93647839996052		China	XBB.1.9*	BF6310	DOH
54	-27.3856545	153.1184918		Australia	EG.5*	76227F	DOH
75	4.1898549	73.5271565		Maldives	Other	E06666	DOH
15	21.0862162	79.0637884		India	Other	E06666	DOH
117	-27.7853361	30.7897384		South Africa	JN.1.18*	B8AF37	DOH
53	-8.7441455	115.1663723		Indonesia	XBB.1.9.1*	84034F	DOH
26	22.3160874	113.93647839996052		China	XBB.1.9*	BF6310	DOH
128	15.9266657	107.9650855		Viet Nam	BA.2.86*	5344AA	DOH
123	-8.7441455	115.1663723		Indonesia	KP.2*	674EA7	DOH
85	5.6164609	-0.1770993		Egypt	BA.2.86*	5344AA	DOH
39	39.47644	-87.1003925		Brazil	XBB.1.9.1*	84034F	DOH
94	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
42	43.3568493	-1.7930754		Spain	XBB.2.3*	035F66	DOH
112	-27.3856545	153.1184918		Australia	Omicron	CB5C19	DOH
107	5.6533152	-0.2527234		Ghana	Other	E06666	DOH
105	21.0862162	79.0637884		India	BA.2.86*	5344AA	DOH
72	36.5920226	-93.6640013		Turkey	Other	E06666	DOH
115	53.95694255	-97.84823872487668		Norway	JN.1.18*	B8AF37	DOH
67	53.2716381	7.4587572		Germany	XBB*	04329B	DOH
93	22.3160874	113.93647839996052		China	BA.2.86*	5344AA	DOH
76	42.3743325	-71.0302794		United States	BA.2.86*	5344AA	DOH
27	22.350627	114.1849161		Hong Kong (People's Republic of China)	XBB.1.9*	BF6310	DOH
53	41.1338198	16.7632158		Italy	XBB.2.3*	035F66	DOH
128	42.3743325	-71.0302794		United States	Other	E06666	DOH
28	43.3568493	-1.7930754		Spain	Omicron	CB5C19	DOH
69	11.55351865	104.8444244551626		Cambodia	Other	E06666	DOH
92	7.18250095	79.87614047745092		Sri Lanka	BA.2.86*	5344AA	DOH
50	-27.7853361	30.7897384		South Africa	XBB.1.9.1*	84034F	DOH
75	12.6270148	99.95103		Thailand	Other	E06666	DOH
68	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
27	22.350627	114.1849161		Hong Kong (People's Republic of China)	Omicron	CB5C19	DOH
51	22.3160874	113.93647839996052		China	EG.5*	76227F	DOH
109	36.5920226	-93.6640013		Turkey	KP.2*	674EA7	DOH
37	28.2127094	83.6658884		Nepal	XBB.1.16*	9B0E0E	DOH
113	-20.0254002	-63.0890999		Canada	BA.2.86*	5344AA	DOH
129	55.0356373	-1.7110967		United Kingdom	Other	E06666	DOH
89	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
129	36.1634261	137.9289785		Japan	KP.2*	674EA7	DOH
118	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
127	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
16	41.1338198	16.7632158		Italy	Other	E06666	DOH
75	-8.7441455	115.1663723		Indonesia	BA.2.86*	5344AA	DOH
129	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
15	24.8865027	67.1440768		Pakistan	Other	E06666	DOH
126	35.7626211	10.7545542		Tunisia	BA.2.86*	5344AA	DOH
7	5.9572597	116.0657877		Malaysia	Omicron	CB5C19	DOH
31	24.8865027	67.1440768		Pakistan	XBB*	04329B	DOH
76	53.2716381	7.4587572		Germany	Omicron	CB5C19	DOH
102	55.0356373	-1.7110967		United Kingdom	Omicron	CB5C19	DOH
1	34.86793	48.5428723		Iran	Other	E06666	DOH
4	30.9317189	-6.912768690350622		Morocco	Omicron	CB5C19	DOH
126	43.3568493	-1.7930754		Spain	BA.2.86*	5344AA	DOH
111	28.2127094	83.6658884		Nepal	BA.2.86*	5344AA	DOH
121	59.8143342	30.32107		Russian Federation	JN.1.18*	B8AF37	DOH
38	13.2099268	120.6038962		Philippines	XBB*	04329B	DOH
50	4.3130528	-52.1335736070748		France	XBB.2.3*	035F66	DOH
69	53.91158075	-8.81314269279339		Ireland	Omicron	CB5C19	DOH
85	36.1634261	137.9289785		Japan	BA.2.86*	5344AA	DOH
128	47.3285764	-106.95163804366535		Jordan	KP.2*	674EA7	DOH
117	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
47	5.6164609	-0.1770993		Egypt	XBB.1.9.1*	84034F	DOH
9	21.0862162	79.0637884		India	XBB.1.5*	2B7A6B	DOH
15	24.8865027	67.1440768		Pakistan	Omicron	CB5C19	DOH
54	41.1338198	16.7632158		Italy	EG.5*	76227F	DOH
56	55.0356373	-1.7110967		United Kingdom	XBB*	04329B	DOH
21	22.3160874	113.93647839996052		China	XBB.1.9*	BF6310	DOH
107	22.3160874	113.93647839996052		China	Other	E06666	DOH
80	24.9415476	46.7119808		Saudi Arabia	BA.2.86*	5344AA	DOH
90	-27.7853361	30.7897384		South Africa	BA.2.86*	5344AA	DOH
9	21.0862162	79.0637884		India	Other	E06666	DOH
126	5.6164609	-0.1770993		Egypt	Omicron	CB5C19	DOH
93	53.2716381	7.4587572		Germany	BA.2.86*	5344AA	DOH
76	13.2099268	120.6038962		Philippines	Other	E06666	DOH
20	42.3743325	-71.0302794		United States	XBB.2.3*	035F66	DOH
121	42.3743325	-71.0302794		United States	JN.1.7*	AFB53F	DOH
45	1.352975	103.99605546603934		Singapore	EG.5*	76227F	DOH
116	24.8865027	67.1440768		Pakistan	JN.1.18*	B8AF37	DOH
66	-8.7441455	115.1663723		Indonesia	Other	E06666	DOH
37	22.3160874	113.93647839996052		China	XBB.2.3*	035F66	DOH
45	23.61298745	89.51132630000001		Bangladesh	Other	E06666	DOH
128	47.3285764	-106.95163804366535		Jordan	Other	E06666	DOH
65	41.1338198	16.7632158		Italy	BA.2.86*	5344AA	DOH
91	4.1898549	73.5271565		Maldives	BA.2.86*	5344AA	DOH
128	-27.3856545	153.1184918		Australia	BA.2.86*	5344AA	DOH
25	22.350627	114.1849161		Hong Kong (People's Republic of China)	XBB.1.9*	BF6310	DOH
45	-27.7853361	30.7897384		South Africa	EG.5*	76227F	DOH
56	15.9266657	107.9650855		Viet Nam	XBB.1.9.2*	76750F	DOH
51	22.3160874	113.93647839996052		China	XBB*	04329B	DOH
10	41.1338198	16.7632158		Italy	Other	E06666	DOH
9	22.3160874	113.93647839996052		China	Omicron	CB5C19	DOH
54	41.1338198	16.7632158		Italy	XBB*	04329B	DOH
60	13.2099268	120.6038962		Philippines	XBB.2.3*	035F66	DOH
